study_word,test,textbox.text,mouse.x,P/NP,Y/N
case,,,,,
phone,,,,,
laptop,,,,,
chart,,,,,
cruise,,,,,
cushion,,,,,
pastry,,,,,
marble,,,,,
book,,,,,
mouse,,,,,
poster,,,,,
police,,,,,
t-shirt,,,,,
keys,,,,,
board,,,,,
,p_nc_l,"pencil
",0.016666667,P,Y
,bo_t_e,bottle,0,NP,Y
,_a_bl_,cable,0.032407407,P,N
,p_li_e,police,0.038888889,P,Y
,_ha_t,"
",0,P,N
,_ho_e,"whole
",0.038888889,P,N
,_ru_s_,,0.072222222,P,N
,c_m_ra,camera,0.072222222,NP,Y
,_ou_e,house,0.072222222,P,N
,l_pt_p,laptip,0.072222222,P,N
,v_s_,vase,0.072222222,NP,Y
,p_s_tr_,pastry,0.072222222,P,Y
,c_s_,case,0.072222222,P,Y
,k_y_,keys,0.072222222,P,Y
,_oo_,look,0.072222222,P,N
,_o_rd,board,0.072222222,P,Y
,c_s_io_,cushion,0.072222222,P,Y
,t_hi_t,tshirt,0.072222222,P,Y
,ta_l_,table,0.072222222,NP,Y
,p_st_r,pester,0.072222222,P,N
,,,,,
,,,prop of hit  from study list,0.928571429,
,,,prop of hit from non-primed words,0.5,
,,,prime score,0.428571429,
